item_name,shop_name,city,address,price,category,lat,lon
Contact lens,Cửa Hàng Mắt Kính Hùng Cường,Ho Chi Minh City,,350000,optician,10.8032423,106.6999969
Motorbike helmet,Đại Lý Honda Head,Ho Chi Minh City,,402000,motorcycle,10.8066436,106.6949024
Slippers,Cửa Hàng Giày Dép Ngọc Được,Ho Chi Minh City,,283000,shoes,10.8091593,106.6950217
Bread,Bánh Mì Queen,Ho Chi Minh City,,425000,bakery,10.8032147,106.7159696
Snack,Circle K,Ho Chi Minh City,"205, Nam Kỳ Khởi Nghĩa",314000,convenience,10.352207,107.086949
Fish,Unknown Shop,Ho Chi Minh City,,435000,seafood,10.3366698,107.0716403
Cooking oil,Maximart,Ho Chi Minh City,,327000,supermarket,10.7769187,106.6811112
Snack pack,Siêu Thị Bình Hòa,Ho Chi Minh City,,431000,supermarket,10.816301,106.6981233
Sunflower,Unknown Shop,Ho Chi Minh City,,462000,florist,10.8186932,106.6989838
Cake,Unknown Shop,Ho Chi Minh City,,431000,bakery,10.8209741,106.7051478
Snack,Unknown Shop,Ho Chi Minh City,,333000,convenience,10.8215421,106.703794
Soft drink,Unknown Shop,Ho Chi Minh City,,316000,convenience,10.8220925,106.7053047
Fish sauce,Siêu Thị Mini Bình Minh,Ho Chi Minh City,"440, Đường Nơ Trang Long",496000,supermarket,10.8224451,106.7071706
Pack of rice,Siêu Thị Mela,Ho Chi Minh City,,101000,supermarket,10.7579255,106.6731127
Ring,Cửa Hàng Trang Sức Hà Tâm,Ho Chi Minh City,,422000,jewelry,10.772187,106.697352
Instant noodles,WinMart+,Ho Chi Minh City,,245000,convenience,10.7560655,106.7001948
Comics,Nhà Sách Phương Nam,Ho Chi Minh City,"41, Ðinh Tiên Hoàng",151000,books,10.7851214,106.7026331
Comics,Unknown Shop,Ho Chi Minh City,,235000,books,10.781632,106.6975512
Instant noodles,FamilyMart,Ho Chi Minh City,"56, Phó Ðức Chính",497000,convenience,10.7692304,106.7001682
Cooking oil,Unknown Shop,Ho Chi Minh City,,62000,supermarket,10.7737618,106.704673
Fish sauce,Cửa Hàng Mua Sắm Citimart,Ho Chi Minh City,"Floor 4, Đường Hồng Bàng",416000,supermarket,10.7559528,106.6624963
Seat cover,Cửa Hàng Xe Ô Tô Audi,Ho Chi Minh City,,397000,car,10.7850846,106.703525
Car battery,Hyundai Bến Thành,Ho Chi Minh City,"360D, Bến Vân Đồn",232000,car,10.7555524,106.6903514
Donut,Tous les Jours,Ho Chi Minh City,Đường Hoàng Diệu,239000,bakery,10.7603557,106.6992806
Contact lens,Cửa Hàng Mắt Kính Hàng Hiệu,Ho Chi Minh City,,287000,optician,10.763407,106.703588
Tire,Cửa Hàng Xe Saigon Minsk,Ho Chi Minh City,,407000,motorcycle,10.7675626,106.6944174
Instant noodles,Circle K,Ho Chi Minh City,,328000,convenience,10.7709168,106.6894985
Snack,Shop&Go!,Ho Chi Minh City,,446000,convenience,10.7718769,106.6904496
Bread,Bánh Mì Biết Nói Bread Talk,Ho Chi Minh City,"106, Nguyễn Thị Minh Khai",229000,bakery,10.7798807,106.6947971
Soccer ball,Adidas,Ho Chi Minh City,"66, Lê Lợi",197000,sports,10.7737969,106.7000608
Soft drink,Circle K,Ho Chi Minh City,"53, Nguyễn Du",60000,convenience,10.7796921,106.7007494
,Phòng vé VietjetAir,Ho Chi Minh City,,429000,ticket,10.7831846,106.6958524
Shorts,Cửa Hàng Thời Trang N&M,Ho Chi Minh City,,92000,clothes,10.7823547,106.6964907
Croissant,Cửa Hàng Bánh Mì Givral,Ho Chi Minh City,,250000,bakery,10.7763601,106.702458
Novel,Nhà Sách Fahasa,Ho Chi Minh City,"40, Nguyễn Huệ",492000,books,10.7740626,106.7041836
Bread,Tous les Jours,Ho Chi Minh City,,63000,bakery,10.769267,106.6967749
Bread,Cửa Hàng Bánh Pháp -  Tous les Jours,Ho Chi Minh City,,128000,bakery,10.7215939,106.7128687
Snack pack,COOP EXTRA,Ho Chi Minh City,"101, Nguyễn Văn Linh",435000,supermarket,10.7284509,106.7183878
Soft drink,Shop&Go!,Ho Chi Minh City,"105C, Bến Vân Đồn",50000,convenience,10.764179,106.7011229
Snack pack,Siêu thị Điện máy Chợ Lớn,Ho Chi Minh City,,186000,supermarket,10.7542055,106.6645954
Sculpture,Parkson,Ho Chi Minh City,,245000,department_store,10.7294661,106.721883
Snack,Cửa Hàng Tiện Lợi Shop & Go,Ho Chi Minh City,"243, Hai Bà Trưng",62000,convenience,10.7872473,106.6925533
Bottle of water,Shop&Go!,Ho Chi Minh City,,258000,convenience,10.794457,106.70916
Donut,Cửa Hàng Bánh Mì ABC,Ho Chi Minh City,,498000,bakery,10.795424,106.710071
Tire,Honda,Ho Chi Minh City,,280000,motorcycle,10.6236977,107.0548407
Snack pack,Chợ Đêm,Ho Chi Minh City,,99000,supermarket,10.5893695,107.0553676
Jeans,Cửa Hàng Thời Trang M&B,Ho Chi Minh City,"50-52, Nguyễn Thị Minh Khai, Quận 1",78000,clothes,10.7838908,106.6988927
Dress,Cửa Hàng Thời Trang An Phước,Ho Chi Minh City,"94, Nguyễn Thị Minh Khai",268000,clothes,10.7804676,106.6956763
Car battery,Cửa Hàng Xe Ô Tô Mitsubishi,Ho Chi Minh City,,155000,car,10.8136663,106.6664827
Cooking oil,Big C,Ho Chi Minh City,"1/1, Trường Chinh, Quận Tân Phú",155000,supermarket,10.806804,106.634147
Bottle of water,Cửa Hàng Tiện Lợi Shop&Go,Ho Chi Minh City,Le Van Sy,488000,convenience,10.7930496,106.6698351
,Nhà Xe Thịnh Phát,Ho Chi Minh City,"25A, Sư Vạn Hạnh, Quận 5",440000,ticket,10.7602467,106.6730294
Instant noodles,Shop&Go!,Ho Chi Minh City,"254, Nguyễn Công Trứ",266000,convenience,10.7674953,106.7002265
Cooking oil,Siêu Thị Online Annam Gourmet,Ho Chi Minh City,"16-18, Hai Bà Trưng, Quận 1, Thành phố Hồ Chí Minh",460000,supermarket,10.7767779,106.7050958
Cake,Bánh Mì Biết Nói BreadTalk,Ho Chi Minh City,,160000,bakery,10.7974758,106.6898734
Road bike,Sửa Xe Hưng Lợi,Ho Chi Minh City,Phan Xích Long,424000,bicycle,10.799015,106.6871509
Lipstick,Chăm Sóc Da Ngọc Ánh,Ho Chi Minh City,Hoa Phượng,427000,beauty,10.7988573,106.6877997
Cooking oil,Co.op Mart,Ho Chi Minh City,,359000,supermarket,10.7864217,106.6755113
Novel,Nhà Sách Đinh Tiên Hoàng,Ho Chi Minh City,,431000,books,10.7880172,106.7001838
Textbook,"Nhà Sách Fahasa;387-389 Hai Bà Trưng (Fahasa Tân Định),",Ho Chi Minh City,"387-389 Hai Bà Trưng (Fahasa Tân Định),, Xuân Hòa, Ho Chi Minh City",303000,books,10.7903071,106.6887105
T-shirt,Hoang Phuc,Ho Chi Minh City,,238000,clothes,10.3519518,107.0799381
Jacket,N&M,Ho Chi Minh City,,256000,clothes,10.352315,107.0809507
Croissant,Davi Ngon,Ho Chi Minh City,,360000,bakery,10.3524944,107.0808005
Bread,Cửa Hàng Bánh Mì Pat A Chou,Ho Chi Minh City,,360000,bakery,10.7781974,106.7034507
Croissant,Tous les Jours,Ho Chi Minh City,,371000,bakery,10.7798788,106.7042015
Cake,Thy Thy,Ho Chi Minh City,"53, Đồ Chiểu",404000,bakery,10.349645,107.0780912
Snack pack,Siêu thị Mỹ Nghệ,Ho Chi Minh City,"2, Trưng Trắc",333000,supermarket,10.3476761,107.0744874
Donut,Bánh mì,Ho Chi Minh City,,449000,bakery,10.3490859,107.0769647
Snack pack,CoopMart Vũng Tàu,Ho Chi Minh City,"36, Nguyễn Thái Học",327000,supermarket,10.3669427,107.0854561
,Nguyễn Kim,Ho Chi Minh City,,54000,hifi,10.3517785,107.0884493
Car battery,Mercedes-Benz,Ho Chi Minh City,"811-813, Nguyễn Văn Linh, 12345",158000,car,10.728241,106.7144727
,The Warehouse,Ho Chi Minh City,,369000,wine,10.7272817,106.7087435
Instant noodles,AEON Citimart B&B,Ho Chi Minh City,"S4-1, Bùi Bằng Đoàn, Quận 7, Hồ Chí Minh",97000,convenience,10.7299816,106.7087541
Cooking oil,Co.opmart Phan Văn Trị,Ho Chi Minh City,"543/1, Đường Phan Văn Trị, Q. Gò Vấp, TP.HCM",70000,supermarket,10.8295261,106.6820675
Comics,Đông Hải,Ho Chi Minh City,,256000,books,10.3481246,107.0773133
,Apple Pen,Ho Chi Minh City,,108000,massage,10.7318935,106.7100136
Squid,Hải Sản Hạ Long,Ho Chi Minh City,,127000,seafood,10.7382332,106.7199062
Wiper blade,Mercedes - Benz Vietnam,Ho Chi Minh City,,268000,car_repair,10.837231,106.6544445
,Kiwi Spa,Ho Chi Minh City,"25, Hưng Gia 5",256000,massage,10.7337098,106.7093097
T-shirt,Cửa Hàng Thời Trang Huy Hoàng,Ho Chi Minh City,"65, Pasteur",85000,clothes,10.7750496,106.7006785
,Cây Kiểng Nhã Hương,Ho Chi Minh City,,451000,garden_centre,10.7291657,106.7013351
Car battery,Unknown Shop,Ho Chi Minh City,,174000,car,10.7412412,106.7213471
Fish sauce,Siêu Thị Co.opMart - Phú Thọ,Ho Chi Minh City,,220000,supermarket,10.7708442,106.6529897
Wiper blade,Công Ty TNHH Ô Tô Isuzu,Ho Chi Minh City,,366000,car_repair,10.8387724,106.6482944
Fish sauce,Co-opmart Liên Hiệp TP.HCM,Ho Chi Minh City,,161000,supermarket,10.8419863,106.6436933
Shorts,Ninomax,Ho Chi Minh City,,485000,clothes,10.4957575,107.1718335
Motorbike helmet,Suzuki,Ho Chi Minh City,Bạch Đằng,412000,motorcycle,10.4933786,107.1703055
,Du Lịch Vietnam Airlines,Ho Chi Minh City,,380000,travel_agency,10.7677795,106.6676645
Boots,Giày Dép Da Gia Thành,Ho Chi Minh City,,174000,shoes,10.7496175,106.6499374
,Tiệm Massage Hán Cung,Ho Chi Minh City,,339000,massage,10.7732024,106.6951544
,Tiệm Massage Lê Duyên 4,Ho Chi Minh City,,321000,massage,10.773121,106.6952435
Snack pack,Big C,Ho Chi Minh City,,158000,supermarket,10.8014349,106.7468623
Accessory,Station Mall,Ho Chi Minh City,,267000,mall,10.8011701,106.7331602
,P V Oil,Ho Chi Minh City,,318000,gas,10.4831625,107.174051
Charger,Tuấn Khanh,Ho Chi Minh City,"49, Đồng Khởi",153000,mobile_phone,10.351449,107.077586
,Thái Trang,Ho Chi Minh City,,315000,household,10.3488096,107.0762667
,Nhật Nam,Ho Chi Minh City,"85, Trưng Nhị",399000,baby_goods,10.3488206,107.0763097
Snack pack,Siêu thị trái cây,Ho Chi Minh City,"87, Trưng Nhị",134000,supermarket,10.3488416,107.0763427
,Tấn Phát Hồng,Ho Chi Minh City,"89, Trưng Nhị",101000,household,10.3488626,107.0763767
Milk tea,Tam Phát,Ho Chi Minh City,"91, Trưng Nhị",305000,tea,10.3488356,107.0764227
,Baby,Ho Chi Minh City,"93, Trưng Nhị",322000,baby_goods,10.3488626,107.0764497
Cooking oil,Hồng Lập Thành,Ho Chi Minh City,"97, Trưng Nhị",255000,supermarket,10.3489046,107.0765327
Dress,Ánh Phượng,Ho Chi Minh City,"99, Trưng Nhị",316000,clothes,10.3489126,107.0765727
Jeans,Cherry,Ho Chi Minh City,"56, Lý Thường Kiệt",313000,clothes,10.348867,107.077003
Earrings,Kim Hoàng,Ho Chi Minh City,,246000,jewelry,10.349002,107.076785
T-shirt,Thanh Liền,Ho Chi Minh City,,151000,clothes,10.348371,107.076313
Power bank,Kim Minh,Ho Chi Minh City,Nam Kỳ Khởi Nghĩa,400000,electronics,10.346478,107.084067
Power bank,A Hò,Ho Chi Minh City,"115, Nam Kỳ Khởi Nghĩa",207000,electronics,10.3471625,107.0844035
Jeans,Triumph,Ho Chi Minh City,,392000,clothes,10.3505187,107.0780937
Charger,Thegioididong,Ho Chi Minh City,"290, Trương Công Định",381000,mobile_phone,10.3551064,107.0852104
,Be Bi,Ho Chi Minh City,Lê Lai,62000,baby_goods,10.348881,107.078485
Cooking oil,Winmart,Ho Chi Minh City,Trương Công Định,186000,supermarket,10.3486004,107.0815849
Soft drink,Minh Hồng Phát,Ho Chi Minh City,,267000,convenience,10.3451542,107.0801034
Crab,Thành Phát,Ho Chi Minh City,"334, Trần Phú",87000,seafood,10.386538,107.061535
Canvas art,Rồng Việt Ô tô,Ho Chi Minh City,"7, Lê Hồng Phong",424000,car_parts,10.3600925,107.0782319
Skincare cream,Hoài Thu,Ho Chi Minh City,"51A, Trần Đồng",231000,beauty,10.344425,107.081532
Fabric softener,Mạnh Hùng,Ho Chi Minh City,"55, Trần Đồng",117000,laundry,10.344343,107.08155
Fabric softener,Minh Tâm,Ho Chi Minh City,"51, Trần Đồng",301000,laundry,10.344388,107.081441
Lipstick,Ái Nhân,Ho Chi Minh City,Đường số 36,330000,beauty,10.394308,107.230498
,CHBLXH số 7,Ho Chi Minh City,,395000,gas,10.627342,107.05218
Sculpture,Parkson,Ho Chi Minh City,,348000,department_store,10.8014484,106.7469505
Tire,Cửa Hàng Xe Honda,Ho Chi Minh City,,407000,motorcycle,10.788388,106.758589
Shampoo,Cắt Tóc Thanh Phong,Ho Chi Minh City,"110, Đường Nguyễn Khoái",117000,hairdresser,10.75609,106.693908
Laundry detergent,Thỏ Thắng,Ho Chi Minh City,"64, Đường Nguyễn Thái Bình",275000,laundry,10.768991,106.699223
,Chốt Bảo Vệ Dân phố,Ho Chi Minh City,"60, Đường Nguyễn Thái Bình",324000,kiosk,10.769075,106.699368
Jacket,Cửa Hàng Thời Trang PT2000,Ho Chi Minh City,,149000,clothes,10.7818956,106.6921187
Jacket,Cửa Hàng Thời Trang Minh Đức,Ho Chi Minh City,,108000,clothes,10.782022,106.691974
Charger,Thế Giới Di Động,Ho Chi Minh City,,275000,mobile_phone,10.7759118,106.6913432
Bread,Cửa Hàng Bánh Mì Tươi,Ho Chi Minh City,,317000,bakery,10.7761119,106.6901276
Bottle of water,Tạp hóa chị Hạnh,Ho Chi Minh City,,255000,convenience,10.649078,107.2419043
Novel,Nhà Sách Nguyên Diệp,Ho Chi Minh City,"149, Trần Hưng Đạo, Ngãi Giao, Châu Đức, Bà Rịa - Vũng Tàu, 064",159000,books,10.6478223,107.2416343
Comics,Nhà Sách Nguyên Diệp 102,Ho Chi Minh City,"102, Trần Hưng Đạo, TT. Ngãi Giao, Châu Đức, Bà Rịa - Vũng Tàu, 064",314000,books,10.65034,107.2420222
Novel,Unknown Shop,Ho Chi Minh City,,328000,books,10.7860633,106.7034359
Headphones,Cửa hàng Điện Quang,Ho Chi Minh City,,370000,electronics,10.7707887,106.7003918
Instant noodles,Circle K,Ho Chi Minh City,Hồ Tùng Mậu,150000,convenience,10.77194,106.703707
Bottle of water,Circle K,Ho Chi Minh City,,408000,convenience,10.7744175,106.6966499
,Index Living Mall,Ho Chi Minh City,,130000,household,10.762305,106.701994
Hammer,Tôn Hoa Sen,Ho Chi Minh City,,316000,hardware,10.627105,107.051441
,PVOil Phú Mỹ,Ho Chi Minh City,,437000,gas,10.599436,107.054382
,Thanh Lâm,Ho Chi Minh City,,470000,gas,10.577199,107.055005
Snack pack,Cho Phuoc Hoa,Ho Chi Minh City,,204000,supermarket,10.539246,107.072205
,Lang Cat,Ho Chi Minh City,,99000,gas,10.499214,107.101016
Seat cover,Hyundai Bà Rịa,Ho Chi Minh City,,405000,car,10.500476,107.15415
Squid,6 Cua Ghe,Ho Chi Minh City,,281000,seafood,10.493069,107.164689
Bluetooth speaker,Dienmay.com,Ho Chi Minh City,,290000,electronics,10.367318,107.084735
Motorbike helmet,Yamaha,Ho Chi Minh City,,452000,motorcycle,10.369308,107.084003
Power bank,Fpt shop,Ho Chi Minh City,,409000,electronics,10.367719,107.084963
Whiskey,Mona,Ho Chi Minh City,,87000,alcohol,10.348563,107.075597
Bluetooth speaker,FPT Shop,Ho Chi Minh City,"258, Ba Cu",172000,electronics,10.354006,107.08358
Shorts,N&M,Ho Chi Minh City,,154000,clothes,10.35226,107.080924
Charger,FPT Shop,Ho Chi Minh City,,113000,mobile_phone,10.354343,107.083617
Jeans,Bảo Châu,Ho Chi Minh City,,375000,clothes,10.353937,107.083531
,Mẹ Và Bé,Ho Chi Minh City,Ba Cu,96000,baby_goods,10.354101,107.083049
Canvas art,Sắc Màu,Ho Chi Minh City,,268000,art,10.354254,107.083472
Motorbike helmet,Honda,Ho Chi Minh City,,89000,motorcycle,10.3532224,107.0823667
Painting,Đại Hùng,Ho Chi Minh City,,284000,department_store,10.353372,107.082652
Sandals,Hoang Phuc,Ho Chi Minh City,,287000,shoes,10.352,107.079921
Headphones,Toàn CD,Ho Chi Minh City,,315000,music,10.349712,107.076831
Smartphone,Viettel Store,Ho Chi Minh City,,277000,mobile_phone,10.368736,107.083929
,Việt Hà,Ho Chi Minh City,,149000,household,10.355961,107.083112
,Trà My,Ho Chi Minh City,"65, Lê Hồng Phong",378000,bed,10.3562981,107.083337
Car battery,Auto Care 266,Ho Chi Minh City,"266, Lê Hồng Phong",269000,car_repair,10.355737,107.083343
,Aikibi,Ho Chi Minh City,Lê Hồng Phong,440000,household,10.355541,107.083394
,DV New Interior Design,Ho Chi Minh City,"262, Lê Hồng Phong",82000,interior_decoration,10.3558838,107.0831724
Perfume,Rồng Biển,Ho Chi Minh City,,158000,beauty,10.356483,107.083087
Phone case,TGDD,Ho Chi Minh City,,167000,mobile_phone,10.397904,107.112246
Brake lever,Honda,Ho Chi Minh City,,205000,motorcycle,10.399329,107.116349
,CHXD so 16,Ho Chi Minh City,,84000,gas,10.407802,107.131203
,CHXD so 1,Ho Chi Minh City,,265000,gas,10.40579,107.127567
,Phu Thinh,Ho Chi Minh City,,108000,gas,10.661392,106.778674
Fish sauce,Citimart,Ho Chi Minh City,,153000,supermarket,10.784261,106.69973
T-shirt,T&T,Ho Chi Minh City,,264000,clothes,10.875475,106.799643
T-shirt,Cửa Hàng Thời Trang Maison,Ho Chi Minh City,"63, Đường Pasteur",418000,clothes,10.774866,106.700601
T-shirt,Tâm Silk,Ho Chi Minh City,,478000,clothes,10.774759,106.700928
Instant noodles,Circle K,Ho Chi Minh City,,79000,convenience,10.726303,106.720997
Snack,Circle K,Ho Chi Minh City,Đường Vĩnh Khánh,367000,convenience,10.761571,106.702183
Instant noodles,Bách Hoá Bà Nội Trợ,Ho Chi Minh City,,153000,convenience,10.754672,106.692041
Brake lever,Yamaha Linh Hoàng Thịnh 4,Ho Chi Minh City,,403000,motorcycle,10.6255649,107.0528029
,Lam Sơn,Ho Chi Minh City,,476000,gas,10.532362,107.078869
Crab,Trung Cua,Ho Chi Minh City,,83000,seafood,10.493523,107.163955
Necklace,Kim Hien,Ho Chi Minh City,,160000,jewelry,10.3490583,107.0751106
Badminton racket,Ngọc Trang,Ho Chi Minh City,,63000,sports,10.349161,107.075461
Postcard,Cửa Hàng Quà Tặng Butterfly,Ho Chi Minh City,"53, Ðồng Khởi",212000,gift,10.7743796,106.7026259
Dress,Cửa Hàng Thời Trang Tuti Bella,Ho Chi Minh City,,381000,clothes,10.7745159,106.7040687
Dress,Cửa Hàng Thời Trang Uniqlo,Ho Chi Minh City,"49, Ðồng Khởi",160000,clothes,10.7739546,106.7051387
,Unknown Shop,Ho Chi Minh City,,209000,gas,10.498408,107.106618
Textbook,Nhà Sách Bến Nghé,Ho Chi Minh City,"340-342, Võ Văn Ngân",125000,books,10.8495429,106.7711739
Jeans,Cửa Hàng Thời Trang Yame,Ho Chi Minh City,"336, Võ Văn Ngân",432000,clothes,10.849601,106.7709375
Bread,Unknown Shop,Ho Chi Minh City,,101000,bakery,10.849873,106.7686451
Cake,Bánh Mì Que Su Su,Ho Chi Minh City,,429000,bakery,10.8483625,106.771407
,Photocopy sinh viên,Ho Chi Minh City,,371000,copyshop,10.8482208,106.771253
,Photocopy,Ho Chi Minh City,,165000,copyshop,10.8509146,106.7709148
Cake,Bánh Mì Tuấn Mập,Ho Chi Minh City,"5, Chu Mạnh Chinh",357000,bakery,10.8476618,106.7688745
T-shirt,Cửa Hàng Thời Tran Zenyta Boutique,Ho Chi Minh City,"338, Võ Văn Ngân",196000,clothes,10.8495936,106.7709875
,Shop Baby A Cẩm,Ho Chi Minh City,"332-334, Võ Văn Ngân",149000,baby_goods,10.8496073,106.7708699
LEGO set,Cửa Hàng Đồ Chơi Ngọc Đức,Ho Chi Minh City,"328, Võ Văn Ngân",215000,toys,10.8496049,106.7707694
Slippers,Cửa Hàng Giày Kim Thanh,Ho Chi Minh City,"326, Võ Văn Ngân",203000,shoes,10.8496101,106.7707278
T-shirt,Cửa Hàng Thời Trang Việt Tiến,Ho Chi Minh City,"324, Võ Văn Ngân",314000,clothes,10.8496166,106.7706858
LEGO set,Thiên Phúc,Ho Chi Minh City,"320, Võ Văn Ngân",221000,toys,10.8496182,106.7705923
Charger,Cửa Hàng Di Động Phong Vũ,Ho Chi Minh City,"318, Võ Văn Ngân",295000,mobile_phone,10.849621,106.7705555
Smartphone,Cửa Hàng Di Động Ngọc Linh,Ho Chi Minh City,"310, Võ Văn Ngân",395000,mobile_phone,10.8496191,106.7703467
Heels,Cửa Hàng Vascara,Ho Chi Minh City,"286, Võ Văn Ngân",387000,shoes,10.8496492,106.7696777
Heels,Cửa Hàng Gìày Dép Biti's,Ho Chi Minh City,"290, Võ Văn Ngân",499000,shoes,10.8496433,106.7698407
,Cửa Hàng Trẻ Em Đông Thy,Ho Chi Minh City,"300, Võ Văn Ngân",482000,baby_goods,10.8496354,106.7700639
Sandals,Thư,Ho Chi Minh City,"302, Võ Văn Ngân",172000,shoes,10.8496373,106.7701209
,Cửa Hàng Photocopy Ngô Thành Công,Ho Chi Minh City,"348, Võ Văn Ngân",336000,copyshop,10.8495806,106.7713409
T-shirt,Cửa Hàng Thời Trang Sifa,Ho Chi Minh City,"352, Võ Văn Ngân",402000,clothes,10.8495858,106.7714188
Heels,Cửa Hàng Giày Anh Văn,Ho Chi Minh City,"354, Võ Văn Ngân",91000,shoes,10.8495884,106.7714626
Sneakers,Cửa Hàng Giày Đại Châu,Ho Chi Minh City,"356, Võ Văn Ngân",368000,shoes,10.849588,106.7715077
Soft drink,FamilyMart,Ho Chi Minh City,"362, Võ Văn Ngân",293000,convenience,10.8496004,106.7716529
Soft drink,Circle K,Ho Chi Minh City,"366, Võ Văn Ngân",419000,convenience,10.8495984,106.7717052
Instant noodles,FamilyMart,Ho Chi Minh City,"289, Võ Văn Ngân",144000,convenience,10.8498812,106.7682654
Brake lever,Honda - Trung Tâm Bảo Hành,Ho Chi Minh City,"703, Kha Vạn Cân, TP.Thủ Đức",227000,motorcycle,10.8513946,106.7546938
Bottle of water,Circle K,Ho Chi Minh City,,185000,convenience,10.7603293,106.6809755
Phone case,Thế Giới Di Động,Ho Chi Minh City,"1A, Nguyễn Kiệm, Ho Chi Minh City",428000,mobile_phone,10.8145836,106.6784933
,Trung Tâm Mua Sắm Nguyễn Kim,Ho Chi Minh City,,225000,yes,10.7998779,106.6807122
Phone case,Thế Giới Di Động,Ho Chi Minh City,"130, Trần Quang Khải, Ho Chi Minh City",383000,mobile_phone,10.7921447,106.6918399
Croissant,Bánh Mì Ba Lê,Ho Chi Minh City,,433000,bakery,10.7956863,106.6957159
Charger,Thế Giới Di Động,Ho Chi Minh City,,435000,mobile_phone,10.7967789,106.6647844
Wristwatch,Cửa Hàng Đồng Hồ Đăng Quang,Ho Chi Minh City,"98E, Phan Đăng Lưu, Phú Nhuận, Phường 3",267000,watches,10.8032609,106.6842861
Charger,Cửa Hàng Di Động Trọng Trí,Ho Chi Minh City,,458000,mobile_phone,10.8029744,106.684026
Shorts,Cửa Hàng Thời Trang Bolzano Italy,Ho Chi Minh City,"120, Phan Đăng Lưu, Phú Nhuận, Phường 3",308000,clothes,10.8028953,106.6839428
Smartphone,Thế giới di động,Ho Chi Minh City,Nguyễn Huy Tưởng,428000,mobile_phone,10.8037442,106.6893485
Smartphone,FPT Shop,Ho Chi Minh City,,316000,mobile_phone,10.8099408,106.712711
Bottle of water,Ministop,Ho Chi Minh City,,94000,convenience,10.8059325,106.6858375
,Con Cưng,Ho Chi Minh City,,210000,baby_goods,10.8040778,106.6863896
Heels,Cửa Hàng Giày Dép Nguyễn Chương,Ho Chi Minh City,,182000,shoes,10.7890455,106.7036532
Sneakers,Cửa Hàng Giày Dép Toms,Ho Chi Minh City,,266000,shoes,10.7890802,106.7036992
Charger,FPT Shop,Ho Chi Minh City,,153000,mobile_phone,10.8033257,106.6921909
Dress,Cửa Hàng Đầm Bầu Merymom,Ho Chi Minh City,,480000,clothes,10.7782585,106.6815384
,Cửa Hàng Thời Trang Trẻ Em Ibaby,Ho Chi Minh City,,203000,baby_goods,10.7782947,106.6809887
