province,shop_name,city,address,category,lat,lon
Da Nang,A Dong Silk,,Trần Hưng Đạo,,15.8799858,108.3270459
Da Nang,Tam's Pub and Surf Shop,,An Thượng 5,,16.0482059,108.2455337
Da Nang,,,Phan Châu Trinh,,15.8784237,108.3306086
Da Nang,,,Trần Hưng Đạo,,15.8800895,108.3268836
Da Nang,Cát Việt Travel & Media,,,,16.0580155,108.2206803
Da Nang,Thu's house,,,,15.8878852,108.1118451
Da Nang,Long Vy,,,gift,15.8784892,108.3313798
Da Nang,,,,clothes,16.0519939,108.2172417
Da Nang,Michael Mini Mart,,Thái Phiên,convenience,15.881793,108.3280884
Da Nang,,,,,16.0703195,108.2456156
Da Nang,,,,,16.0796047,108.1325145
Da Nang,,,Lê Lợi,,15.8766992,108.3288647
Da Nang,Amy Custom Talor,,Cửa Đại,,15.8795951,108.3368048
Da Nang,Dai Duong,,,,15.8765608,108.3284741
Da Nang,Happy Heart Cafe,,Ngô Thi Sỹ;Đường Ngô Thì Sĩ,,16.047694,108.2448029
Da Nang,Kimono,,Trần Phú,clothes,15.8771699,108.3276192
Da Nang,,,Trần Hưng Đạo,,15.8799895,108.3255041
Da Nang,,,,,15.8797441,108.3285673
Da Nang,Art Gallery Studio,,,art,15.8775959,108.3359664
Da Nang,Đại Việt Cổ Shop,,,yes,15.9911083,108.2710483
Da Nang,mini mart minh huyen,,Cửa Đại,convenience,15.880411,108.341347
Da Nang,anna cloth shop,,Nguyễn Duy Hiệu,,15.8780672,108.3351803
Da Nang,,,Nguyễn Thái Học,,15.8765735,108.329768
Da Nang,,,,,15.8772495,108.3315181
Da Nang,,,,car_parts,15.8803135,108.3247855
Da Nang,Minimart Nhân Nguyễn,,,convenience,15.890266,108.3290135
Da Nang,Mini Mart Bích Cẩm,,Cửa Đại,convenience,15.8820387,108.3456024
Da Nang,,,,clothes,15.8766345,108.3304148
Da Nang,,,Cửa Đại,,15.879695,108.3371422
Da Nang,Simon the Tailor,Hội An,Phan Đình Phùng,clothes,15.8882589,108.3296282
Da Nang,Ber Shop Biker - Heltmet 3/4 Da Nang,Đà Nẵng,Trần Đức Thảo,yes,16.034785,108.2156117
Da Nang,,,,clothes,15.8780253,108.3346567
Da Nang,41 Tailor,,,,15.877297,108.3326002
Da Nang,minimart kidoshop,,Hà Bổng,department_store,16.0662104,108.2446508
Da Nang,Miuk style,,,clothes,15.8825289,108.324949
Da Nang,"Surprise, 35",,,clothes,15.8797202,108.3308548
Da Nang,,,,,15.877652,108.3262397
Da Nang,,,,clothes,15.8777179,108.3262407
Da Nang,Chợ Điện Dương mới,,,,15.9215858,108.3005673
Da Nang,Lotus Leaf Fine Arts & Jewellery,Hội An,Bạch Đằng,jewelry,15.877062,108.3321593
Da Nang,,,Bạch Đằng,jewelry,15.8771106,108.3322478
Da Nang,Art Gallery Alley,,,,15.8773051,108.3303466
Da Nang,T.Mart,,,convenience,15.8872581,108.3293728
Da Nang,FAIFOO,,Trần Hưng Đạo,,15.8799764,108.3273139
Da Nang,Chu Dai Bi,,,,16.0643389,108.2429817
Da Nang,Cho Ha Than,,,,16.0646963,108.2313711
Da Nang,WinMart,,,supermarket,16.0716248,108.2303226
Da Nang,,,,gift,16.0033964,108.2645143
Da Nang,,,Trần Nhân Tông,art,16.0952539,108.243117
Da Nang,,,,,16.0642925,108.2243232
Da Nang,min na clothes shop,,,clothes,15.8806017,108.326819
Da Nang,Da Nang City Party Committee,,,,16.0706565,108.2247422
Da Nang,,,,,16.0657551,108.1723943
Da Nang,Be Li,,Hai Bà Trưng,,15.8802083,108.3268862
Da Nang,Da Nang Apartments,Da Nang,Hoàng Sa,,16.0909041,108.2503666
Da Nang,Hiệu Giày,,Cửa Đại,clothes,15.8800797,108.3383534
Da Nang,Tailor Maya,,,,15.8771726,108.3289716
Da Nang,,,Trần Phú,clothes,15.8776524,108.332285
Da Nang,,,Hai Bà Trưng,,15.88173,108.3253618
Da Nang,,,,,15.8774546,108.3303704
